symbol,type,entry_time,exit_time,profit_pct,profit_abs,balance
BTC/USDT,long,2026-01-13 16:00:00,2026-01-13 22:00:00,2.385163700723519,9.238121829937453,1945.8183714654547
BTC/USDT,long,2026-01-14 14:00:00,2026-01-15 19:00:00,-1.1626521934458556,-4.524619995263107,1941.2937514701916
BTC/USDT,short,2026-01-20 05:00:00,2026-01-20 17:00:00,1.8677206497236722,7.251588853600823,1948.5453403237925
BTC/USDT,short,2026-01-25 03:00:00,2026-01-25 16:00:00,0.8426781987705884,3.2839933552137532,1951.8293336790064
BTC/USDT,short,2026-01-25 18:00:00,2026-01-26 14:00:00,-1.0171813238182095,-3.9707286909976514,1947.8586049880087
BTC/USDT,long,2026-01-28 13:00:00,2026-01-28 15:00:00,-1.0122512974209132,-3.9434448001832036,1943.9151601878254
BTC/USDT,long,2026-02-25 16:00:00,2026-02-26 16:00:00,-2.5714702327396344,-9.997439938788585,1933.9177202490368
BTC/USDT,long,2026-03-04 14:00:00,2026-03-06 12:00:00,-2.5432073591782447,-9.836707556365129,1924.0810126926717
BTC/USDT,short,2026-03-07 18:00:00,2026-03-08 22:00:00,1.8203519987899648,7.0050094345778495,1931.0860221272496
BTC/USDT,long,2026-03-09 13:00:00,2026-03-13 09:00:00,4.2436586638831,16.38973985700771,1947.4757619842574
BTC/USDT,long,2026-03-13 13:00:00,2026-03-13 15:00:00,-2.259208633838627,-8.799508111332587,1938.6762538729247
BTC/USDT,long,2026-03-15 22:00:00,2026-03-16 22:00:00,2.6310798268687723,10.20162396478915,1948.8778778377139
ETH/USDT,long,2025-10-06 14:00:00,2025-10-07 15:00:00,-2.8776000267327317,-11.510400106930927,1988.489599893069
ETH/USDT,long,2025-10-21 15:00:00,2025-10-21 20:00:00,-3.2727490775811807,-13.015655007659626,1975.4739448854093
ETH/USDT,long,2025-10-26 13:00:00,2025-10-27 01:00:00,2.5018787712561816,9.884792651757019,1985.3587375371662
ETH/USDT,long,2025-11-10 00:00:00,2025-11-10 14:00:00,-2.744905898563517,-10.899245818860772,1974.4594917183056
ETH/USDT,long,2025-12-02 15:00:00,2025-12-03 20:00:00,4.228685629330045,16.69873695664701,1991.1582286749526
