timestamp,symbol,side,price,quantity,pnl,reason,ml_score,final_tp
2026-03-28T10:20:30.556086,SOL/USDT,Long,82.95,296.33586057198835,0,[1H Core] AI Score 0.59 >= 0.52,0.5926717211439767,87.2634
2026-03-28T10:20:30.669973,NEAR/USDT,Long,1.163,270.75248977178865,0,[1H Core] AI Score 0.54 >= 0.52,0.5415049795435772,1.2269649999999999
2026-03-28T10:20:30.786129,AVAX/USDT,Long,8.8,277.83710350043543,0,[1H Core] AI Score 0.56 >= 0.52,0.5556742070008709,9.284
2026-03-28T10:20:31.002706,ARB/USDT,Long,0.0901,273.7630715712215,0,[1H Core] AI Score 0.55 >= 0.52,0.547526143142443,0.09505549999999999
2026-03-28T10:21:31.759718,SOL/USDT,Long,82.96,298.6855191233768,0,[1H Core] AI Score 0.60 >= 0.52,0.5973710382467536,87.27392
2026-03-28T10:21:31.876140,NEAR/USDT,Long,1.163,270.75248977178865,0,[1H Core] AI Score 0.54 >= 0.52,0.5415049795435772,1.2269649999999999
2026-03-28T10:21:31.993417,AVAX/USDT,Long,8.79,282.29316811875975,0,[1H Core] AI Score 0.56 >= 0.52,0.5645863362375195,9.273449999999999
2026-03-28T10:21:32.222855,ARB/USDT,Long,0.0901,273.76307157122153,0,[1H Core] AI Score 0.55 >= 0.52,0.5475261431424431,0.09505549999999999
2026-03-28T10:22:32.973039,SOL/USDT,Long,82.96,294.48262057265225,0,[1H Core] AI Score 0.59 >= 0.52,0.5889652411453045,87.27392
2026-03-28T10:22:33.085057,NEAR/USDT,Long,1.163,273.6941807338878,0,[1H Core] AI Score 0.55 >= 0.52,0.5473883614677756,1.2269649999999999
2026-03-28T10:22:33.195125,AVAX/USDT,Long,8.8,277.8371035004354,0,[1H Core] AI Score 0.56 >= 0.52,0.5556742070008708,9.284
2026-03-28T10:22:33.411626,ARB/USDT,Long,0.0901,273.76307157122153,0,[1H Core] AI Score 0.55 >= 0.52,0.5475261431424431,0.09505549999999999
2026-03-28T10:23:34.170712,SOL/USDT,Long,82.94,297.01557926108717,0,[1H Core] AI Score 0.59 >= 0.52,0.5940311585221744,87.25288
2026-03-28T10:23:34.279953,NEAR/USDT,Long,1.162,273.78211532412314,0,[1H Core] AI Score 0.55 >= 0.52,0.5475642306482463,1.2259099999999998
2026-03-28T10:23:34.393512,AVAX/USDT,Long,8.79,284.6676222672314,0,[1H Core] AI Score 0.57 >= 0.52,0.5693352445344628,9.273449999999999
2026-03-28T10:23:34.613068,ARB/USDT,Long,0.0901,273.76307157122153,0,[1H Core] AI Score 0.55 >= 0.52,0.5475261431424431,0.09505549999999999
2026-03-28T10:24:35.379651,SOL/USDT,Long,82.95,291.76978730940704,0,[1H Core] AI Score 0.58 >= 0.52,0.5835395746188141,87.2634
2026-03-28T10:24:35.490769,NEAR/USDT,Long,1.164,276.05743618155776,0,[1H Core] AI Score 0.55 >= 0.52,0.5521148723631155,1.22802
2026-03-28T10:24:35.602497,AVAX/USDT,Long,8.8,277.02809982546603,0,[1H Core] AI Score 0.55 >= 0.52,0.554056199650932,9.284
2026-03-28T10:24:35.825411,ARB/USDT,Long,0.0902,272.6541390980537,0,[1H Core] AI Score 0.55 >= 0.52,0.5453082781961074,0.095161
2026-03-28T10:25:36.589987,SOL/USDT,Long,82.98,287.4487233820733,0,[1H Core] AI Score 0.57 >= 0.52,0.5748974467641466,87.29496
2026-03-28T10:25:36.701861,NEAR/USDT,Long,1.164,276.0574361815579,0,[1H Core] AI Score 0.55 >= 0.52,0.5521148723631157,1.22802
2026-03-28T10:25:36.843961,AVAX/USDT,Long,8.79,282.29316811875975,0,[1H Core] AI Score 0.56 >= 0.52,0.5645863362375195,9.273449999999999
2026-03-28T10:25:37.072123,ARB/USDT,Long,0.0902,273.46314277302304,0,[1H Core] AI Score 0.55 >= 0.52,0.546926285546046,0.095161
2026-03-28T10:26:37.874161,SOL/USDT,Long,82.9,307.125587996982,0,[1H Core] AI Score 0.61 >= 0.52,0.6142511759939641,87.2108
2026-03-28T10:26:38.008799,NEAR/USDT,Long,1.164,276.0574361815578,0,[1H Core] AI Score 0.55 >= 0.52,0.5521148723631156,1.22802
2026-03-28T10:26:38.123305,AVAX/USDT,Long,8.8,279.0735543709206,0,[1H Core] AI Score 0.56 >= 0.52,0.5581471087418411,9.284
2026-03-28T10:26:38.380394,ARB/USDT,Long,0.0901,272.9540678962522,0,[1H Core] AI Score 0.55 >= 0.52,0.5459081357925044,0.09505549999999999
2026-03-28T10:27:39.144310,SOL/USDT,Long,82.82,297.81970556891815,0,[1H Core] AI Score 0.60 >= 0.52,0.5956394111378362,87.12664
2026-03-28T10:27:39.254214,NEAR/USDT,Long,1.162,269.6912062332141,0,[1H Core] AI Score 0.54 >= 0.52,0.5393824124664282,1.2259099999999998
2026-03-28T10:27:39.365221,AVAX/USDT,Long,8.78,279.91870705293917,0,[1H Core] AI Score 0.56 >= 0.52,0.5598374141058783,9.262899999999998
2026-03-28T10:27:39.585630,ARB/USDT,Long,0.0899,273.7731133024386,0,[1H Core] AI Score 0.55 >= 0.52,0.5475462266048773,0.09484449999999998
2026-03-28T10:28:40.366538,SOL/USDT,Long,82.8,304.5399348766831,0,[1H Core] AI Score 0.61 >= 0.52,0.6090798697533663,87.1056
2026-03-28T10:28:40.482424,NEAR/USDT,Long,1.163,277.9397096314751,0,[1H Core] AI Score 0.56 >= 0.52,0.5558794192629503,1.2269649999999999
2026-03-28T10:28:40.591883,AVAX/USDT,Long,8.79,277.51331549615816,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923163,9.273449999999999
2026-03-28T10:28:40.815938,ARB/USDT,Long,0.0899,273.7731133024386,0,[1H Core] AI Score 0.55 >= 0.52,0.5475462266048773,0.09484449999999998
2026-03-28T10:29:41.588767,SOL/USDT,Long,82.78,297.1194147721348,0,[1H Core] AI Score 0.59 >= 0.52,0.5942388295442697,87.08456000000001
